Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
10368;Délit;CONDUITE INTENTIONNELLE D'UN AERONEF SANS DOCUMENT DE NAVIGABILITE;ART.L.6142-5 2°, ART.L.6232-4 1°, ART.L.6100-1, ART.R.6221-2 1°, ART.R.6221-3 C.TRANSPORTS. ART.14, ART.2 §1 B) REGLT.UE DU 04/07/2018.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10369;Délit;CONDUITE D'UN AERONEF SANS MARQUES D'IDENTIFICATION;ART.L.6142-5 2°, ART.L.6142-4 2°, ART.L.6111-2, ART.L.6100-1, ART.R.6111-11, ART.D.6111-12 C.TRANSPORTS.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10370;Délit;CONDUITE INTENTIONNELLE D'UN AERONEF DONT LE DOCUMENT DE NAVIGABILITE N'EST PLUS VALABLE;ART.L.6142-5 2°, ART.L.6232-4 2°, ART.L.6100-1, ART.R.6221-2 1°, ART.R.6221-3 C.TRANSPORTS. ART.14, ART.2 §1 B) REGLT.UE DU 04/07/2018.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10371;Délit;CONDUITE INTENTIONNELLE D'UN AERONEF SANS CERTIFICAT DE LIMITATION DE NUISANCES;ART.L.6142-5 2°, ART.L.6232-4 1°, ART.L.6100-1, ART.R.6221-17 C.TRANSPORTS. ART.14, ART.2 §1 B) REGLT.UE DU 04/07/2018.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10372;Délit;CONDUITE INTENTIONNELLE D'UN AERONEF DONT LE CERTIFICAT DE LIMITATION DE NUISANCES N'EST PLUS VALABLE;ART.L.6142-5 2°, ART.L.6232-4 2°, ART.L.6100-1, ART.R.6221-17 C.TRANSPORTS. ART.14, ART.2 §1 B) REGLT.UE DU 04/07/2018.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10373;Délit;CONDUITE INTENTIONNELLE D'UN AERONEF NE REPONDANT PAS AUX CONDITIONS TECHNIQUES DE NAVIGABILITE;ART.L.6142-5 2°, ART.L.6232-4 3°, ART.L.6100-1, ART.R.6221-2 2° C.TRANSPORTS. ART.14, ART.2 §1 B) REGLT.UE DU 04/07/2018.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10374;Délit;CONDUITE D'UN AERONEF NON CONFORME AUX REGLES DE SECURITE : EQUIPEMENT DE L'APPAREIL;ART.L.6142-5 2°, ART.L.6232-4 4°, ART.L.6100-1 C.TRANSPORTS.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10375;Délit;CONDUITE D'UN AERONEF NON CONFORME AUX REGLES DE SECURITE : COMPOSITION DE L'EQUIPAGE;ART.L.6142-5 2°, ART.L.6232-4 4°, ART.L.6100-1 C.TRANSPORTS.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10376;Délit;CONDUITE D'UN AERONEF NON CONFORME AUX REGLES DE SECURITE : UTILISATION DE L'APPAREIL;ART.L.6142-5 2°, ART.L.6232-4 4°, ART.L.6100-1, ART.R.6221-2 3° C.TRANSPORTS.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10377;Délit;CONDUITE D'UN AERONEF NON CONFORME AUX REGLES DE SECURITE : EMPLOI DE L'EQUIPAGE;ART.L.6142-5 2°, ART.L.6232-4 4°, ART.L.6100-1, ART.R.6221-2 4° C.TRANSPORTS.;ART.L.6142-5 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10381;Délit;TRANSPORT NON AUTORISE PAR AERONEF D'OBJET DE CORRESPONDANCE;ART.L.6232-8 1° C.TRANSPORTS.;ART.L.6232-8 AL.1, AL.4, ART.L.6232-4 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10382;Délit;INTERRUPTION DU FONCTIONNEMENT DES SERVICES D'UN AERODROME NUISIBLE A LA SECURITE;ART.L.6372-4 5°, ART.L.6300-1 C.TRANSPORTS.;ART.L.6372-4 AL.1 C.TRANSPORTS. ART.131-30 AL.1 C.PENAL.
10383;Crime;BLESSURES INVOLONTAIRES RESULTANT D'UNE INTERRUPTION VOLONTAIRE DU FONCTIONNEMENT DES SERVICES D'UN AERODROME NUISIBLE A LA SECURITE;ART.L.6372-6 AL.1, ART.L.6372-4 5°, ART.L.6300-1 C.TRANSPORTS.;ART.L.6372-6 AL.1,AL.3 C.TRANSPORTS. ART.131-26-2, ART.131-30 AL.1 C.PENAL.
10384;Crime;HOMICIDE INVOLONTAIRE RESULTANT D'UNE INTERRUPTION VOLONTAIRE DU FONCTIONNEMENT DES SERVICES D'UN AERODROME NUISIBLE A LA SECURITE;ART.L.6372-6 AL.2, ART.L.6372-4 5°, ART.L.6300-1 C.TRANSPORTS.;ART.L.6372-6 AL.2,AL.3 C.TRANSPORTS. ART.131-26-2, ART.131-30 AL.1 C.PENAL.
10385;Délit;SURVOL PAR LE PILOTE D'UN AERONEF, PAR MALADRESSE OU NEGLIGENCE, D'UNE ZONE INTERDITE;ART.L.6232-2 AL.1, ART.L.6211-4 AL.1, ART.R.6211-7, ART.R.6211-8 C.TRANSPORTS.;ART.L.6232-2 AL.1, ART.L.6232-5 AL.1 C.TRANSPORTS.
10386;Délit;SURVOL VOLONTAIRE PAR LE PILOTE D'UN AERONEF D'UNE ZONE INTERDITE;ART.L.6232-2 AL.2 1°,AL.1, ART.L.6211-4 AL.1, ART.R.6211-7, ART.R.6211-8 C.TRANSPORTS.;ART.L.6232-2 AL.2, ART.L.6232-5 AL.1 C.TRANSPORTS.
10387;Délit;MISE OU MAINTIEN EN SERVICE D'UN AERONEF SANS DOCUMENT DE NAVIGABILITE;ART.L.6232-4 1°, ART.L.6100-1, ART.R.6221-2 1°, ART.R.6221-3 C.TRANSPORTS. ART.14, ART.2 §1 B) REGLT.UE DU 04/07/2018.;ART.L.6232-4 AL.1 C.TRANSPORTS.
10388;Contravention de classe 5;TRANSPORT ROUTIER DE MARCHANDISE DANGEREUSE DANS UN COLIS OU AVEC UN SUREMBALLAGE SANS ETIQUETTE DE DANGER CONFORME;ART.R.1252-8, ART.R.1252-9 AL.1 5° C.TRANSPORTS. ANX.A 5.2.2, 5.1.2.1, 5.1.3.1, 5.1.4, 3.2.1 §5, §6 ADR DU 30/09/1957. ART.1, ART.3 2°, ANX.I 5.4 §II 10° ARR.MINIST DU 29/05/2009.;ART.R.1252-9 C.TRANSPORTS. ART.1-BIS AL.4 DECRET 77-1331 DU 30/11/1977.
10390;Contravention de classe 5;TRANSPORT ROUTIER DE MARCHANDISE DANGEREUSE AVEC DES PLAQUES-ETIQUETTES ERRONEES;ART.R.1252-8, ART.R.1252-9 AL.1 5° C.TRANSPORTS. ANX.A 5.3.1, 3.2.1 §5, §6 ADR DU 30/09/1957. ART.1, ART.3 2°, ANX.I 2.1.1, 3.5.5, 5.4 §II 10° ARR.MINIST DU 29/05/2009.;ART.R.1252-9 C.TRANSPORTS. ART.1-BIS AL.4 DECRET 77-1331 DU 30/11/1977.
10391;Contravention de classe 5;TRANSPORT ROUTIER DE MARCHANDISES DANGEREUSES IRREGULIEREMENT CHARGEES EN COMMUN DANS UN VEHICULE OU UN CONTENEUR;ART.R.1252-8, ART.R.1252-9 AL.1 7° C.TRANSPORTS. ANX.A 7.5.2 ADR DU 30/09/1957. ART.1, ART.3 2°, ANX.I 5.4 §I 11° ARR.MINIST DU 29/05/2009.;ART.R.1252-9 C.TRANSPORTS. ART.1-BIS AL.3 DECRET 77-1331 DU 30/11/1977.
10393;Contravention de classe 5;TRANSPORT ROUTIER DE MARCHANDISE DANGEREUSE AVEC UN VEHICULE SANS COUPE-CIRCUIT DE BATTERIE CONFORME;ART.R.1252-8, ART.R.1252-9 AL.1 4° C.TRANSPORTS. ANX.B 9.2.2.3 ADR DU 30/09/1957. ART.1, ART.3 3°, ANX.I 5.4 §II 2° ARR.MINIST DU 29/05/2009.;ART.R.1252-9 C.TRANSPORTS. ART.1-BIS AL.4 DECRET 77-1331 DU 30/11/1977.
10394;Contravention de classe 5;TRANSPORT ROUTIER DE MARCHANDISE DANGEREUSE DE CLASSE 1 SANS CONVOYEUR A BORD DU VEHICULE;ART.R.1252-8, ART.R.1252-9 AL.1 8° C.TRANSPORTS. ANX.B 8.5 §S1-2 ADR DU 30/09/1957. ART.1, ART.3 2°, ANX.I 2.4.1, 5.4 §I 20° ARR.MINIST DU 29/05/2009.;ART.R.1252-9 C.TRANSPORTS. ART.1-BIS AL.3 DECRET 77-1331 DU 30/11/1977.
10395;Contravention de classe 5;TRANSPORT ROUTIER DE MARCHANDISE DANGEREUSE EN EMBALLAGE NON CONFORME OU NON AGREE;ART.R.1252-8, ART.R.1252-9 AL.1 2° C.TRANSPORTS. ANX.A 4.1, 6.1, 6.2, 6.3, 6.4, 6.5, 6.6 ADR DU 30/09/1957. ART.1, ART.3 3°, ART.13, ANX.I 5.4 §I 7°,8° ARR.MINIST DU 29/05/2009.;ART.R.1252-9 C.TRANSPORTS. ART.1-BIS AL.3 DECRET 77-1331 DU 30/11/1977.
10396;Contravention de classe 5;TRANSPORT ROUTIER DE MARCHANDISE DANGEREUSE EN EMBALLAGE NE PRESENTANT PLUS LES GARANTIES DE SECURITE;ART.R.1252-8, ART.R.1252-9 AL.1 2° C.TRANSPORTS. ANX.A 4.1.1.1, 4.1.1.15, 4.1.1.2, 4.1.1.5, 4.1.1.9, 4.1.9.1.2 ADR DU 30/09/1957. ART.1, ART.3 2°, ANX.I 5.4 §II 6° ARR.MINIST DU 29/05/2009.;ART.R.1252-9 C.TRANSPORTS. ART.1-BIS AL.4 DECRET 77-1331 DU 30/11/1977.
10400;Délit;DEBARQUEMENT DE PRODUITS DE PECHE MARITIME ET D'AQUACULTURE MARINE EN DEHORS DES LIEUX DETERMINES;ART.L.945-4 §I 5°, ART.L.932-1, ART.R.932-2 AL.2 C.RURAL.;ART.L.945-4 §I AL.1, ART.L.945-5 §I 1°, 2°, 3°, 4° C.RURAL.
10411;Délit;DESTRUCTION ILLICITE D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A),ART.L.411-1 §I 1°,ART.L.411-2,ART.R.411-1,ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1,ART.L.173-5,ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10412;Délit;ENLEVEMENT ILLICITE D'UN OEUF OU D'UN NID D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A), ART.L.411-1 §I 1°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10413;Délit;MUTILATION ILLICITE D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A), ART.L.411-1 §I 1°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10414;Délit;DESTRUCTION ILLICITE D'UN OEUF OU D'UN NID D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A),ART.L.411-1 §I 1°,ART.L.411-2,ART.R.411-1,ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1,ART.L.173-5,ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10415;Délit;ENLEVEMENT OU CAPTURE ILLICITE D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A), ART.L.411-1 §I 1°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10416;Délit;NATURALISATION ILLICITE D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A), ART.L.411-1 §I 1°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10417;Délit;TRANSPORT ILLICITE D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A), ART.L.411-1 §I 1°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10418;Délit;COLPORTAGE ILLICITE D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A), ART.L.411-1 §I 1°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10419;Délit;UTILISATION ILLICITE D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A), ART.L.411-1 §I 1°, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10420;Délit;MISE EN VENTE OU VENTE ILLICITE D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A), ART.L.411-1 §I 1°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10421;Délit;ACHAT ILLICITE D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A), ART.L.411-1 §I 1°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10422;Délit;DESTRUCTION ILLICITE D'UNE ESPECE VEGETALE NON CULTIVEE OU DE SES FRUCTIFICATIONS - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), ART.L.411-1 §I 2°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10423;Délit;COUPE, ARRACHAGE OU CUEILLETTE ILLICITE D'UNE ESPECE VEGETALE NON CULTIVEE OU DE SES FRUCTIFICATIONS - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), ART.L.411-1 §I 2°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10424;Délit;MUTILATION ILLICITE D'UNE ESPECE VEGETALE NON CULTIVEE OU DE SES FRUCTIFICATIONS - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), ART.L.411-1 §I 2°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10425;Délit;ENLEVEMENT ILLICITE D'UNE ESPECE VEGETALE NON CULTIVEE OU DE SES FRUCTIFICATIONS - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), ART.L.411-1 §I 2°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10426;Délit;TRANSPORT ILLICITE D'UNE ESPECE VEGETALE NON CULTIVEE OU DE SES FRUCTIFICATIONS PRELEVEE EN MILIEU NATUREL - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), ART.L.411-1 §I 2°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10427;Délit;COLPORTAGE ILLICITE D'UNE ESPECE VEGETALE NON CULTIVEE OU DE SES FRUCTIFICATIONS PRELEVEE EN MILIEU NATUREL - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), ART.L.411-1 §I 2°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10428;Délit;UTILISATION ILLICITE D'UNE ESPECE VEGETALE NON CULTIVEE OU DE SES FRUCTIFICATIONS PRELEVEE EN MILIEU NATUREL - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), ART.L.411-1 §I 2°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10429;Délit;MISE EN VENTE OU VENTE ILLICITE D'UNE ESPECE VEGETALE NON CULTIVEE OU DE SES FRUCTIFICATIONS PRELEVEE EN MILIEU NATUREL - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), ART.L.411-1 §I 2°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10430;Délit;ACHAT ILLICITE D'UNE ESPECE VEGETALE NON CULTIVEE OU DE SES FRUCTIFICATIONS PRELEVEE EN MILIEU NATUREL - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), ART.L.411-1 §I 2°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10431;Délit;DESTRUCTION ILLICITE DE L'HABITAT D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A),C), ART.L.411-1 §I 3°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 AL.1 C.PENAL.
10432;Délit;DESTRUCTION ILLICITE DE L'HABITAT D'UNE ESPECE VEGETALE NON CULTIVEE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), C), ART.L.411-1 §I 3°, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10433;Délit;ALTERATION OU DEGRADATION ILLICITE DE L'HABITAT D'UNE ESPECE VEGETALE NON CULTIVEE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° B), C), ART.L.411-1 §I 3°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10434;Délit;ALTERATION OU DEGRADATION ILLICITE DE L'HABITAT D'UNE ESPECE ANIMALE NON DOMESTIQUE - PROTECTION DU PATRIMOINE NATUREL;ART.L.415-3 1° A), C), ART.L.411-1 §I 3°, ART.L.411-2, ART.R.411-1, ART.R.411-3 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10435;Délit;DESTRUCTION ILLICITE D'UN SITE D'INTERET GEOLOGIQUE;ART.L.415-3 1° D), ART.L.411-1 §I 4°, ART.R.411-17-1 §I C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 2°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10436;Délit;PRODUCTION NON AUTORISEE D'ANIMAL D'UNE ESPECE NON DOMESTIQUE OU DE SES PRODUITS;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10437;Délit;PRODUCTION NON AUTORISEE DE VEGETAL D'ESPECE NON CULTIVEE OU DE SES SEMENCES OU PARTIES DE PLANTES;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10438;Délit;DETENTION NON AUTORISEE D'UN ANIMAL D'UNE ESPECE NON DOMESTIQUE OU DE SES PRODUITS;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10439;Délit;DETENTION NON AUTORISEE DE VEGETAL D'ESPECE NON CULTIVEE OU DE SES SEMENCES OU PARTIES DE PLANTES;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10440;Délit;CESSION NON AUTORISEE D'UN ANIMAL D'UNE ESPECE NON DOMESTIQUE OU DE SES PRODUITS;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10441;Délit;CESSION NON AUTORISEE DE VEGETAL D'ESPECE NON CULTIVEE OU DE SES SEMENCES OU PARTIES DE PLANTES;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10442;Délit;UTILISATION NON AUTORISEE D'UN ANIMAL D'UNE ESPECE NON DOMESTIQUE OU DE SES PRODUITS;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10443;Délit;UTILISATION NON AUTORISEE DE VEGETAL D'ESPECE NON CULTIVEE OU DE SES SEMENCES OU PARTIES DE PLANTES;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10444;Délit;TRANSPORT NON AUTORISE D'UN ANIMAL D'UNE ESPECE NON DOMESTIQUE OU DE SES PRODUITS;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10445;Délit;TRANSPORT NON AUTORISE DE VEGETAL D'ESPECE NON CULTIVEE OU DE SES SEMENCES OU PARTIES DE PLANTES;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10446;Délit;IMPORTATION NON AUTORISEE D'UN ANIMAL D'UNE ESPECE NON DOMESTIQUE OU DE SES PRODUITS;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10447;Délit;IMPORTATION NON AUTORISEE DE VEGETAL D'ESPECE NON CULTIVEE OU DE SES SEMENCES OU PARTIES DE PLANTES;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10448;Délit;EXPORTATION OU REEXPORTATION NON AUTORISEE D'UN ANIMAL D'UNE ESPECE NON DOMESTIQUE OU DE SES PRODUITS;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10449;Délit;EXPORTATION OU REEXPORTATION DE VEGETAL D'ESPECE NON CULTIVEE OU DE SES SEMENCES OU PARTIES DE PLANTES;ART.L.415-3 3°, ART.L.412-1 AL.1, ART.R.412-1, ART.R.412-2 C.ENVIR.;ART.L.415-3, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10450;Délit;OUVERTURE NON AUTORISEE D'ETABLISSEMENT DETENANT EN CAPTIVITE DES ANIMAUX D'ESPECES NON DOMESTIQUES - ELEVAGE,VENTE,LOCATION,TRANSIT;ART.L.415-3 5°, ART.L.413-3, ART.R.413-8, ART.R.413-12, ART.R.413-22 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5 1°, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10451;Délit;OUVERTURE NON AUTORISEE D'ETABLISSEMENT PRESENTANT AU PUBLIC DES ANIMAUX NON DOMESTIQUES;ART.L.415-3 5°, ART.L.413-3, ART.R.413-8, ART.R.413-12, ART.R.413-22 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10452;Délit;EXPLOITATION D'ETABLISSEMENT DETENANT EN CAPTIVITE DES ANIMAUX D'ESPECES NON DOMESTIQUES SANS CERTIFICAT DE CAPACITE;ART.L.415-3 4°, ART.L.413-2, ART.R.413-3, ART.R.413-5, ART.R.413-25, ART.R.413-27 C.ENVIR.;ART.L.415-3 AL.1, ART.L.173-7 C.ENVIR. ART.131-30 1 AL.1 C.PENAL.
10455;Délit;POURSUITE DE LA MODIFICATION NON AUTORISEE DE L'ETAT OU DE L'ASPECT D'UNE RESERVE NATURELLE MALGRE DECISION ADMINISTRATIVE D'INTERRUPTION;ART.L.332-27 AL.1, ART.L.332-6, ART.L.332-9 C.ENVIR. ART.L.480-2, ART.L.480-3 C.URBANISME.;ART.L.332-27 AL.1, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.L.480-3, ART.L.480-5 C.URBANISME.
10456;Délit;POURSUITE DE LA MODIFICATION NON AUTORISEE DE L'ETAT OU DE L'ASPECT D'UNE RESERVE NATURELLE MALGRE DECISION JUDICIAIRE D'INTERRUPTION;ART.L.332-27 AL.1, ART.L.332-6, ART.L.332-9 C.ENVIR. ART.L.480-2, ART.L.480-3 C.URBANISME.;ART.L.332-27, ART.L.173-5, ART.L.173-7 C.ENVIR. ART.L.480-3, ART.L.480-5 C.URBANISME.
